Entiat,WA,Washington,Chelan,1223,216
Bainbridge Island,WA,Washington,Kitsap,24522,342
Auburn,WA,Washington,King,80776,1057
Ocean City,WA,Washington,Grays Harbor,168,19
White Swan,WA,Washington,Yakima,973,140
Felida,WA,Washington,Clark,8065,1077
Lacey,WA,Washington,Thurston,49748,1132
Gold Bar,WA,Washington,Snohomish,2301,824
Clyde Hill,WA,Washington,King,3318,1213
Upper Elochoman,WA,Washington,Wahkiakum,70,18
Marcus,WA,Washington,Stevens,183,316
Canyon Creek,WA,Washington,Snohomish,3319,209
Malone,WA,Washington,Grays Harbor,543,23
Bothell East,WA,Washington,Snohomish,10424,1931
Yarrow Point,WA,Washington,King,1126,1190
Steptoe,WA,Washington,Whitman,183,31
West Richland,WA,Washington,Benton,14596,254
Orient,WA,Washington,Ferry,132,117
Federal Way,WA,Washington,King,96690,1679
Pe Ell,WA,Washington,Lewis,653,426
Deep River,WA,Washington,Wahkiakum,151,4
Bothell,WA,Washington,King,45533,1287
South Wenatchee,WA,Washington,Chelan,2057,683
Snoqualmie Pass,WA,Washington,Kittitas,235,31
Hartline,WA,Washington,Grant,154,178
Lake Forest Park,WA,Washington,King,13392,1469
Crocker,WA,Washington,Pierce,1332,71
Elbe,WA,Washington,Pierce,53,356
Ravensdale,WA,Washington,King,1579,136
Arlington,WA,Washington,Snohomish,19212,756
McChord AFB,WA,Washington,Pierce,3337,216
Lebam,WA,Washington,Pacific,101,26
Lynden,WA,Washington,Whatcom,17340,1019
Coupeville,WA,Washington,Island,1928,586
Prescott,WA,Washington,Walla Walla,304,292
South Bend,WA,Washington,Pacific,1651,394
Mabton,WA,Washington,Yakima,2532,1064
North Bend,WA,Washington,King,6821,598
Grapeview,WA,Washington,Mason,982,103
Garfield,WA,Washington,Whitman,614,252
Rochester,WA,Washington,Thurston,2923,484
Dayton,WA,Washington,Columbia,2637,658
Algona,WA,Washington,King,3185,933
Mineral,WA,Washington,Lewis,193,111
Barstow,WA,Washington,Ferry,119,82
Moclips,WA,Washington,Grays Harbor,0,0
Bellingham,WA,Washington,Whatcom,126015,1241
Vader,WA,Washington,Lewis,643,266
North Lynnwood,WA,Washington,Snohomish,20626,2549
Tracyton,WA,Washington,Kitsap,5937,1195
White Salmon,WA,Washington,Klickitat,2552,657
Peaceful Valley,WA,Washington,Whatcom,4196,95
East Renton Highlands,WA,Washington,King,11401,393
Metaline,WA,Washington,Pend Oreille,178,227
Deming,WA,Washington,Whatcom,240,17
Medical Lake,WA,Washington,Spokane,4818,567
Aberdeen,WA,Washington,Grays Harbor,29089,585
Chehalis,WA,Washington,Lewis,7533,500
Onalaska,WA,Washington,Lewis,709,171
Toledo,WA,Washington,Lewis,751,738
Everson,WA,Washington,Whatcom,4709,797
Belfair,WA,Washington,Mason,4063,212
Lynnwood,WA,Washington,Snohomish,38273,1890
Colton,WA,Washington,Whitman,467,292
Malden,WA,Washington,Whitman,209,122
Ames Lake,WA,Washington,King,1526,368
Wilson Creek,WA,Washington,Grant,212,85
North Yelm,WA,Washington,Thurston,2887,334
Mirrormont,WA,Washington,King,3682,136
Whidbey Island Station,WA,Washington,Island,1938,113
Town and Country,WA,Washington,Spokane,5001,1607
Tokeland,WA,Washington,Pacific,330,248
Snoqualmie,WA,Washington,King,26054,725
Bremerton,WA,Washington,Kitsap,216480,556
East Cathlamet,WA,Washington,Wahkiakum,503,113
Fort Lewis,WA,Washington,Pierce,13920,525
Salmon Creek,WA,Washington,Clark,21068,1281
Skykomish,WA,Washington,King,216,267
Tacoma,WA,Washington,Pierce,213418,1657
Monroe,WA,Washington,Snohomish,18789,1183
Loomis,WA,Washington,Okanogan,117,52
Pomeroy,WA,Washington,Garfield,1388,303
Brush Prairie,WA,Washington,Clark,2783,139
Silver Firs,WA,Washington,Snohomish,22937,1292
Nespelem,WA,Washington,Okanogan,313,622
Meadowdale,WA,Washington,Snohomish,3049,1119
Shadow Lake,WA,Washington,King,2655,197
LaCrosse,WA,Washington,Whitman,324,146
Concrete,WA,Washington,Skagit,729,241
Sumas,WA,Washington,Whatcom,1464,384
Ruston,WA,Washington,Pierce,828,1202
La Center,WA,Washington,Clark,3171,513
Marrowstone,WA,Washington,Jefferson,1084,66
Chelan Falls,WA,Washington,Chelan,86,118
Lake Cavanaugh,WA,Washington,Skagit,179,89
Duluth,WA,Washington,Clark,1379,89
Sequim,WA,Washington,Clallam,20750,432
Benton City,WA,Washington,Benton,4591,533
Moses Lake,WA,Washington,Grant,37774,499
Fircrest,WA,Washington,Pierce,6794,1665
Othello,WA,Washington,Adams,12375,790
Mercer Island,WA,Washington,King,25261,1528
Enumclaw,WA,Washington,King,11784,878
Chico,WA,Washington,Kitsap,2635,444
Enetai,WA,Washington,Kitsap,2231,838
Hunts Point,WA,Washington,King,434,545
Clinton,WA,Washington,Island,811,309
Hat Island,WA,Washington,Snohomish,48,26
Marietta-Alderwood,WA,Washington,Whatcom,4495,294
Waitsburg,WA,Washington,Walla Walla,1195,388
Sunnyslope,WA,Washington,Chelan,3641,175
South Cle Elum,WA,Washington,Kittitas,560,544
Selah,WA,Washington,Yakima,7859,662
Lind,WA,Washington,Adams,556,193
Five Corners,WA,Washington,Clark,18405,1221
Winthrop,WA,Washington,Okanogan,439,182
Normandy Park,WA,Washington,King,6649,1027
Home,WA,Washington,Pierce,1375,83
Graham,WA,Washington,Pierce,26939,297
Yacolt,WA,Washington,Clark,1735,1210
Packwood,WA,Washington,Lewis,230,89
Queets,WA,Washington,Grays Harbor,199,55
Finley,WA,Washington,Benton,6015,201
Northport,WA,Washington,Stevens,296,202
Medina,WA,Washington,King,3267,879
Browns Point,WA,Washington,Pierce,1122,1076
Summit,WA,Washington,Pierce,7876,597
Albion,WA,Washington,Whitman,608,598
Sudden Valley,WA,Washington,Whatcom,7621,470
Bunk Foss,WA,Washington,Snohomish,3604,359
Gleed,WA,Washington,Yakima,2474,176
Maryhill,WA,Washington,Klickitat,73,10
Oyehut,WA,Washington,Grays Harbor,0,0
Alder,WA,Washington,Pierce,133,15
Ridgefield,WA,Washington,Clark,7117,422
Bryant,WA,Washington,Snohomish,1990,125
Nisqually Indian Community,WA,Washington,Thurston,690,94
Porter,WA,Washington,Grays Harbor,222,9
Kettle Falls,WA,Washington,Stevens,1611,585
Chelan,WA,Washington,Chelan,6078,246
Edison,WA,Washington,Skagit,156,104
Neilton,WA,Washington,Grays Harbor,373,14
Fox Island,WA,Washington,Pierce,3848,286
Renton,WA,Washington,King,101379,1669
Baring,WA,Washington,King,173,64
Hobart,WA,Washington,King,6736,138
Wallula,WA,Washington,Walla Walla,329,1212
Touchet,WA,Washington,Walla Walla,437,138
Leavenworth,WA,Washington,Chelan,3332,580
Fobes Hill,WA,Washington,Snohomish,2779,230
Harrington,WA,Washington,Lincoln,411,404
Port Orchard,WA,Washington,Kitsap,13997,559
Alderwood Manor,WA,Washington,Snohomish,8817,1711
Kennewick,WA,Washington,Benton,232915,1147
Ahtanum,WA,Washington,Yakima,3076,171
Wilderness Rim,WA,Washington,King,1443,895
Machias,WA,Washington,Snohomish,886,139
Bingen,WA,Washington,Klickitat,729,452
Four Lakes,WA,Washington,Spokane,403,46
Springdale,WA,Washington,Stevens,293,100
Washtucna,WA,Washington,Adams,204,120
Covington,WA,Washington,King,20916,1363
Allyn,WA,Washington,Mason,2650,640
North Sultan,WA,Washington,Snohomish,241,157
Union Gap,WA,Washington,Yakima,6161,426
Shelton,WA,Washington,Mason,19296,675
Chinook,WA,Washington,Pacific,300,114
Blaine,WA,Washington,Whatcom,5311,365
Port Hadlock-Irondale,WA,Washington,Jefferson,3765,217
Burley,WA,Washington,Kitsap,1941,157
Mount Vernon,WA,Washington,Skagit,69528,1099
Electric City,WA,Washington,Grant,1001,189
Ronald,WA,Washington,Kittitas,284,118
Nespelem Community,WA,Washington,Okanogan,259,4
Amanda Park,WA,Washington,Grays Harbor,119,5
Clarkston Heights-Vineland,WA,Washington,Asotin,6453,413
Boulevard Park,WA,Washington,King,3916,1264
Big Lake,WA,Washington,Skagit,1784,182
Boyds,WA,Washington,Ferry,76,150
Parkwood,WA,Washington,Kitsap,6559,972
Deer Park,WA,Washington,Spokane,3868,229
Humptulips,WA,Washington,Grays Harbor,277,11
SeaTac,WA,Washington,King,29140,1126
Maple Valley,WA,Washington,King,25758,1656
Millwood,WA,Washington,Spokane,1784,989
Point Roberts,WA,Washington,Whatcom,1251,98
Dixie,WA,Washington,Walla Walla,256,182
East Port Orchard,WA,Washington,Kitsap,5334,1338
Morton,WA,Washington,Lewis,1159,544
Alger,WA,Washington,Skagit,235,34
Kahlotus,WA,Washington,Franklin,199,182
Fife Heights,WA,Washington,Pierce,2185,753
Cherry Grove,WA,Washington,Clark,689,112
Clearview,WA,Washington,Snohomish,3907,325
Greenwater,WA,Washington,Pierce,28,7
Picnic Point,WA,Washington,Snohomish,9002,1157
Kendall,WA,Washington,Whatcom,37,17
Seabeck,WA,Washington,Kitsap,1141,132
Startup,WA,Washington,Snohomish,683,64
Steilacoom,WA,Washington,Pierce,6337,1215
Lamont,WA,Washington,Whitman,74,98
Bay View,WA,Washington,Skagit,625,92
Valley,WA,Washington,Stevens,171,154
North Marysville,WA,Washington,Snohomish,172,51
Brady,WA,Washington,Grays Harbor,360,22
May Creek,WA,Washington,Snohomish,663,396
