CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Harrison County,Indiana,0
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Washington County,Indiana,0
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Bullitt County,Kentucky,1
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Henry County,Kentucky,0
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Jefferson County,Kentucky,1
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Oldham County,Kentucky,1
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Shelby County,Kentucky,0
31140,"Louisville/Jefferson County, KY-IN",Metro,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Spencer County,Kentucky,0
31180,"Lubbock, TX",Metro,"Lubbock-Plainview-Levelland, TX",Crosby County,Texas,0
31180,"Lubbock, TX",Metro,"Lubbock-Plainview-Levelland, TX",Lubbock County,Texas,1
31180,"Lubbock, TX",Metro,"Lubbock-Plainview-Levelland, TX",Lynn County,Texas,0
31220,"Ludington, MI",Micro,,Mason County,Michigan,1
31260,"Lufkin, TX",Micro,,Angelina County,Texas,1
31300,"Lumberton, NC",Micro,"Fayetteville-Sanford-Lumberton, NC",Robeson County,North Carolina,1
31340,"Lynchburg, VA",Metro,,Amherst County,Virginia,1
31340,"Lynchburg, VA",Metro,,Appomattox County,Virginia,0
31340,"Lynchburg, VA",Metro,,Bedford County,Virginia,1
31340,"Lynchburg, VA",Metro,,Campbell County,Virginia,1
31340,"Lynchburg, VA",Metro,,Lynchburg city,Virginia,1
31380,"Macomb, IL",Micro,,McDonough County,Illinois,1
31420,"Macon-Bibb County, GA",Metro,"Macon-Bibb County--Warner Robins, GA",Bibb County,Georgia,1
31420,"Macon-Bibb County, GA",Metro,"Macon-Bibb County--Warner Robins, GA",Crawford County,Georgia,0
31420,"Macon-Bibb County, GA",Metro,"Macon-Bibb County--Warner Robins, GA",Jones County,Georgia,0
31420,"Macon-Bibb County, GA",Metro,"Macon-Bibb County--Warner Robins, GA",Monroe County,Georgia,0
31420,"Macon-Bibb County, GA",Metro,"Macon-Bibb County--Warner Robins, GA",Twiggs County,Georgia,0
31460,"Madera, CA",Metro,"Fresno-Madera-Hanford, CA",Madera County,California,1
31500,"Madison, IN",Micro,,Jefferson County,Indiana,1
31540,"Madison, WI",Metro,"Madison-Janesville-Beloit, WI",Columbia County,Wisconsin,0
31540,"Madison, WI",Metro,"Madison-Janesville-Beloit, WI",Dane County,Wisconsin,1
31540,"Madison, WI",Metro,"Madison-Janesville-Beloit, WI",Green County,Wisconsin,0
31540,"Madison, WI",Metro,"Madison-Janesville-Beloit, WI",Iowa County,Wisconsin,0
31580,"Madisonville, KY",Micro,,Hopkins County,Kentucky,1
31620,"Magnolia, AR",Micro,,Columbia County,Arkansas,1
31660,"Malone, NY",Micro,,Franklin County,New York,1
31680,"Malvern, AR",Micro,"Hot Springs-Malvern, AR",Hot Spring County,Arkansas,1
31700,"Manchester-Nashua, NH",Metro,"Boston-Worcester-Providence, MA-RI-NH-CT",Hillsborough County,New Hampshire,1
31740,"Manhattan, KS",Metro,,Geary County,Kansas,0
31740,"Manhattan, KS",Metro,,Pottawatomie County,Kansas,0
31740,"Manhattan, KS",Metro,,Riley County,Kansas,1
31820,"Manitowoc, WI",Micro,,Manitowoc County,Wisconsin,1
31860,"Mankato, MN",Metro,"Mankato-New Ulm, MN",Blue Earth County,Minnesota,1
31860,"Mankato, MN",Metro,"Mankato-New Ulm, MN",Nicollet County,Minnesota,1
31900,"Mansfield, OH",Metro,"Mansfield-Ashland-Bucyrus, OH",Richland County,Ohio,1
31930,"Marietta, OH",Micro,"Parkersburg-Marietta-Vienna, WV-OH",Washington County,Ohio,1
31940,"Marinette, WI-MI",Micro,"Marinette-Iron Mountain, WI-MI",Menominee County,Michigan,1
31940,"Marinette, WI-MI",Micro,"Marinette-Iron Mountain, WI-MI",Marinette County,Wisconsin,1
31980,"Marion, IN",Micro,,Grant County,Indiana,1
32000,"Marion, NC",Micro,"Asheville-Marion-Brevard, NC",McDowell County,North Carolina,1
32020,"Marion, OH",Micro,"Columbus-Marion-Zanesville, OH",Marion County,Ohio,1
32100,"Marquette, MI",Micro,,Marquette County,Michigan,1
32140,"Marshall, MN",Micro,,Lyon County,Minnesota,1
32180,"Marshall, MO",Micro,,Saline County,Missouri,1
32260,"Marshalltown, IA",Micro,,Marshall County,Iowa,1
32280,"Martin, TN",Micro,"Martin-Union City, TN",Weakley County,Tennessee,1
32300,"Martinsville, VA",Micro,,Henry County,Virginia,1
32300,"Martinsville, VA",Micro,,Martinsville city,Virginia,1
32340,"Maryville, MO",Micro,,Nodaway County,Missouri,1
32380,"Mason City, IA",Micro,,Cerro Gordo County,Iowa,1
32380,"Mason City, IA",Micro,,Worth County,Iowa,0
32420,"Mayagüez, PR",Metro,"Mayagüez-San Germán, PR",Hormigueros Municipio,Puerto Rico,1
32420,"Mayagüez, PR",Metro,"Mayagüez-San Germán, PR",Las Marías Municipio,Puerto Rico,0
32420,"Mayagüez, PR",Metro,"Mayagüez-San Germán, PR",Mayagüez Municipio,Puerto Rico,1
32460,"Mayfield, KY",Micro,"Paducah-Mayfield, KY-IL",Graves County,Kentucky,1
32500,"Maysville, KY",Micro,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Mason County,Kentucky,1
32540,"McAlester, OK",Micro,,Pittsburg County,Oklahoma,1
32580,"McAllen-Edinburg-Mission, TX",Metro,"McAllen-Edinburg, TX",Hidalgo County,Texas,1
32620,"McComb, MS",Micro,,Pike County,Mississippi,1
32660,"McMinnville, TN",Micro,,Warren County,Tennessee,1
32700,"McPherson, KS",Micro,,McPherson County,Kansas,1
32740,"Meadville, PA",Micro,"Erie-Meadville, PA",Crawford County,Pennsylvania,1
32780,"Medford, OR",Metro,"Medford-Grants Pass, OR",Jackson County,Oregon,1
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Crittenden County,Arkansas,1
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",DeSoto County,Mississippi,1
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Marshall County,Mississippi,0
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Tate County,Mississippi,0
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Tunica County,Mississippi,0
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Fayette County,Tennessee,0
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Shelby County,Tennessee,1
32820,"Memphis, TN-MS-AR",Metro,"Memphis-Forrest City, TN-MS-AR",Tipton County,Tennessee,0
32860,"Menomonie, WI",Micro,"Eau Claire-Menomonie, WI",Dunn County,Wisconsin,1
32900,"Merced, CA",Metro,"San Jose-San Francisco-Oakland, CA",Merced County,California,1
32940,"Meridian, MS",Micro,,Clarke County,Mississippi,0
32940,"Meridian, MS",Micro,,Kemper County,Mississippi,0
32940,"Meridian, MS",Micro,,Lauderdale County,Mississippi,1
33020,"Mexico, MO",Micro,"Columbia-Moberly-Mexico, MO",Audrain County,Missouri,1
